ScenarioID,SimIndex,LookIndex,Status,BdryStopCode,RDGUserErrorCode,TestStat,ErrorCode,TrueHR
1,287,1,SUCCESS,1,0,-3.98806725841331,0,0.631565126232499
1,288,1,SUCCESS,1,0,-3.06020207695144,0,0.831462355479853
1,289,1,SUCCESS,0,0,-0.516010163837603,0,0.856860028367855
1,290,1,SUCCESS,0,0,-0.630466671363937,0,0.793932884583252
1,291,1,SUCCESS,0,0,-0.483786748199219,0,0.880125382406666
1,292,1,SUCCESS,0,0,-0.284893662914722,0,0.956981241765157
1,293,1,SUCCESS,1,0,-1.99763348276475,0,0.729447288413144
1,294,1,SUCCESS,1,0,-4.78215168463435,0,0.628381524420199
1,295,1,SUCCESS,1,0,-4.1776358545434,0,0.636307053353494
1,296,1,SUCCESS,1,0,-2.28766876645516,0,0.80366278125795
1,297,1,SUCCESS,1,0,-5.38422393907511,0,0.674014024727354
1,298,1,SUCCESS,1,0,-3.19997411574162,0,0.760262110751189
1,299,1,SUCCESS,0,0,-0.961801138140463,0,0.727260789257933
1,300,1,SUCCESS,0,0,-1.84194786869437,0,0.829679413636316
1,301,1,SUCCESS,1,0,-4.17251863104667,0,0.696017731432303
1,302,1,SUCCESS,1,0,-2.85502454969992,0,0.706428530447084
1,303,1,SUCCESS,0,0,-1.63159157704384,0,0.840216746465399
1,304,1,SUCCESS,1,0,-2.79135796409494,0,0.737738752278312
1,305,1,SUCCESS,1,0,-2.81378031343814,0,0.771518335071755
1,306,1,SUCCESS,1,0,-2.30855533643337,0,0.848852101070536
1,307,1,SUCCESS,1,0,-2.70305109892855,0,0.700415175545305
1,308,1,SUCCESS,1,0,-2.98541085881615,0,0.716215494237439
1,309,1,SUCCESS,1,0,-3.82650694845694,0,0.672338835519241
1,310,1,SUCCESS,0,0,-0.62186040166835,0,0.76146945054957
1,311,1,SUCCESS,1,0,-1.99624217328661,0,0.848945775605158
1,312,1,SUCCESS,0,0,-1.78443317393281,0,0.914034083635911
1,313,1,SUCCESS,0,0,-1.13898486898327,0,0.809939661744701
1,314,1,SUCCESS,0,0,-0.264307446424433,0,1.05897410287738
1,315,1,SUCCESS,0,0,-0.503427137901829,0,0.778349439668446
1,316,1,SUCCESS,0,0,-0.886141943457607,0,0.837094389236534
1,317,1,SUCCESS,0,0,-0.324881215889658,0,0.82038437388392
1,318,1,SUCCESS,0,0,-1.958437007455,0,0.697048481603427
1,319,1,SUCCESS,1,0,-2.3246009276431,0,0.764148022014219
1,320,1,SUCCESS,1,0,-2.12061333829192,0,0.726289587734814
1,321,1,SUCCESS,1,0,-3.11665977829892,0,0.806651241476609
1,322,1,SUCCESS,0,0,-1.71838845067602,0,0.844432406223324
1,323,1,SUCCESS,0,0,-0.195904471119241,0,0.781235120363953
1,324,1,SUCCESS,1,0,-2.14991803940909,0,0.779582940060244
1,325,1,SUCCESS,0,0,-1.80939436090745,0,0.783061383228835
1,326,1,SUCCESS,0,0,1.25259088005872,0,0.859639600980698
1,327,1,SUCCESS,1,0,-4.11548422597049,0,0.73292645311778
1,328,1,SUCCESS,1,0,-3.54053023105401,0,0.766546472716029
1,329,1,SUCCESS,0,0,-1.27554166729351,0,0.781317127723984
1,330,1,SUCCESS,1,0,-3.51468359914388,0,0.752847476194287
1,331,1,SUCCESS,1,0,-4.13715222247149,0,0.735006310116459
1,332,1,SUCCESS,0,0,-1.94325584115867,0,0.798680888710879
1,333,1,SUCCESS,0,0,-1.53633475808645,0,0.727027380389531
1,334,1,SUCCESS,1,0,-4.50395018038735,0,0.714937223312744
1,335,1,SUCCESS,1,0,-2.00067400816168,0,0.738869456327209
1,336,1,SUCCESS,0,0,-1.1141352183547,0,0.822365768442337
1,337,1,SUCCESS,1,0,-2.19988004950015,0,0.685373583237021
1,338,1,SUCCESS,0,0,-0.891783953791987,0,0.867213666978208
1,339,1,SUCCESS,1,0,-3.96776226139638,0,0.684404069820427
1,340,1,SUCCESS,1,0,-2.72324074595551,0,0.809368100103565
1,341,1,SUCCESS,0,0,-0.944758864699799,0,0.883168713925574
1,342,1,SUCCESS,1,0,-3.46572873445129,0,0.758540860517708
1,343,1,SUCCESS,0,0,-0.249596080772984,0,0.881850850727684
1,344,1,SUCCESS,1,0,-3.06356373936746,0,0.751268325366805
1,345,1,SUCCESS,0,0,-1.74210295044801,0,0.721884323412283
1,346,1,SUCCESS,0,0,0.368025524620717,0,0.906096661625457
1,347,1,SUCCESS,0,0,-1.24703982391354,0,0.790349898642089
1,348,1,SUCCESS,0,0,-1.75964161148851,0,0.754957427758227
1,349,1,SUCCESS,1,0,-3.87347597252591,0,0.759271896890968
1,350,1,SUCCESS,0,0,-0.751081940576816,0,0.773786339206529
1,351,1,SUCCESS,0,0,-0.895448973050132,0,0.882070281048943
1,352,1,SUCCESS,0,0,-1.52786282180309,0,0.821097513499382
1,353,1,SUCCESS,1,0,-2.73282516060763,0,0.8557851520805
1,354,1,SUCCESS,1,0,-2.19983523106222,0,0.791186290964489
1,355,1,SUCCESS,0,0,-1.46284559092711,0,0.95738583282921
1,356,1,SUCCESS,1,0,-4.54194422033904,0,0.718497528585446
1,357,1,SUCCESS,1,0,-2.44400802515805,0,0.749494830147416
1,358,1,SUCCESS,0,0,-0.826441279358196,0,0.886437595545896
1,359,1,SUCCESS,0,0,-1.92481624344965,0,0.719800904359686
1,360,1,SUCCESS,1,0,-2.39027725077306,0,0.788449765445466
